epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;2.0043725366592406;2.9998573701679705;6.0;20.01891509056091;200.8109638214111;train
1;2,2-dimethylpropane;72.094;2.008593750953674;3.0064218072891236;6.0;20.01370011806488;201.42624320983887;train
1;2,2-dimethylbutane;86.11;2.009882121086121;3.007894457817078;6.0;20.033292434215547;202.0302841186523;train
1;2,3-dimethylpentane;100.125;2.007156495094299;3.0090287895202636;6.0;20.06509506702423;201.88101902008054;train
1;2,4-dimethylpentane;100.125;2.0091532850265503;3.0061734070777892;6.0;20.077882771492;201.7462455749512;train
1;3-methylheptane;114.141;2.0093319845199584;3.0074544830322267;6.0;20.06558462619782;202.0086643218994;train
1;2-methyl-3-ethyl-pentane;114.141;2.0074259691238403;3.0097350778579712;6.0;20.055885338783263;202.11581420898438;train
1;2,4-dimethylhexane;114.141;2.00824280834198;3.008396759033203;6.0;20.058290095329284;201.95604305267335;train
1;2,2,3,4-tetramethylpentane;128.157;2.0076003131866456;3.0095064058303835;6.0;20.027173936367035;202.23656787872315;train
1;2,2,5-trimethylhexane;128.157;2.0083450870513917;3.0098505821228025;6.0;20.025749468803404;202.23751373291012;train
1;2,6-dimethyloctane;142.172;2.0079507932662963;3.008489227294922;6.0;20.041596450805663;202.14029026031497;train
1;2,3-dimethylnonane;156.188;2.0090862169265744;3.0089897193908692;6.0;20.050784001350404;202.1467920303345;train
1;3-methyldodecane;184.219;2.0115343465805053;3.007809819221497;6.0;20.056381859779357;202.14389209747316;train
1;2,3-dimethyldodecane;198.235;2.009933117866516;3.010890296936035;6.0;20.048073720932006;201.9864414215088;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0074020862579345;3.006212921142578;6.0;20.035007777214055;202.50049419403075;train
1;tetracosane;338.391;2.0101974191665652;3.009514410018921;6.0;20.05045734882355;202.06505432128904;train
1;propane;44.063;2.0059612193107608;3.0005631120800973;6.0;20.02780173063278;201.1371175765991;train
1;pentane;72.094;2.008088152885437;3.004562234401703;6.0;20.040649104118344;201.3415298461914;train
1;2,3-dimethylbutane;86.11;2.008616276741028;3.0070797185897824;6.0;20.06237644195557;201.69010162353516;train
1;3-methylhexane;100.125;2.009319088935852;3.0057085256576537;6.0;20.0735116147995;201.80122356414793;train
1;2,5-dimethylhexane;114.141;2.0077996296882628;3.0073087329864503;6.0;20.04005834579468;201.95076675415038;train
1;2,2,3-trimethylpentane;114.141;2.008746674537659;3.0097364292144775;6.0;20.028381679058075;202.13375453948973;train
1;2,3,3-trimethylpentane;114.141;2.0096112365722654;3.0093727455139163;6.0;20.02044149637222;202.20112228393555;train
1;4-methylheptane;114.141;2.007172164440155;3.0072638835906984;6.0;20.06722430706024;202.10283012390136;train
1;3,3-diethylpentane;128.157;2.010772647857666;3.0083653154373167;6.0;20.030465013980866;202.15608024597165;train
1;2,3-dimethylheptane;128.157;2.006851948738098;3.0084191379547116;6.0;20.05561771392822;202.1439645767212;train
1;2,7-dimethyloctane;142.172;2.007898192882538;3.006272789001465;6.0;20.027544867992404;202.1510358810425;train
1;3-methylundecane;170.203;2.010964949607849;3.007405737400055;6.0;20.048820385932924;202.08331279754637;train
1;tridecane;184.219;2.0114645566940306;3.008751486778259;6.0;20.0560528755188;202.0772289276123;train
1;tetradecane;198.235;2.0114523973464964;3.0092780685424803;6.0;20.05554371356964;202.17530231475828;train
1;heptadecane;240.282;2.01035000038147;3.0093482055664063;6.0;20.05597774028778;202.10304317474365;train
1;heptacosane;380.438;2.009129014968872;3.0095455551147463;6.0;20.05688859939575;202.14991359710694;train
1;n-butane;58.078;2.0080054607391356;3.001553316950798;6.0;20.047522377967834;201.04837427139285;train
1;3-methylpentane;86.11;2.0101628017425535;3.005142379283905;6.0;20.067984652519225;201.61582679748537;train
1;3-ethylpentane;100.125;2.0100402669906616;3.0067440695762633;6.0;20.069914503097532;201.6616086959839;train
1;3,3-dimethylpentane;100.125;2.0097857046127316;3.0095042304992674;6.0;20.04781229496002;202.06087055206297;train
1;2-methylheptane;114.141;2.008740370750427;3.006244431018829;6.0;20.057711272239686;202.04380474090576;train
1;octane;114.141;2.009662883758545;3.004674819469452;6.0;20.06443925857544;201.70083599090577;train
1;3-ethylhexane;114.141;2.0094874753952023;3.007384510040283;6.0;20.05774121284485;201.98888263702392;train
1;2,3-dimethylhexane;114.141;2.007824956893921;3.008843683242798;6.0;20.060587525367737;202.11402759551999;train
1;2-methyloctane;128.157;2.0094474840164187;3.0066455545425415;6.0;20.064475502967834;202.0214839935303;train
1;2,2,3,3-tetramethylpentane;128.157;2.008629994392395;3.0076507945060733;6.0;20.0516987657547;202.17131156921386;train
1;3-methyldecane;156.188;2.0111960525512695;3.007705131530762;6.0;20.061656079292298;202.0035427093506;train
1;2,3-dimethyldecane;170.203;2.0093044233322144;3.0097264289855956;6.0;20.046054711341856;202.21569309234616;train
1;2-methyldodecane;184.219;2.01024053478241;3.007861849784851;6.0;20.05250067234039;202.1824464797974;train
1;2-methyltridecane;198.235;2.0105625534057614;3.0090995092391966;6.0;20.05176293849945;202.20142803192135;train
1;octadecane;254.297;2.0090690240859983;3.0085438356399536;6.0;20.056329092979432;202.2470520019531;train
1;octacosane;394.454;2.009096920967102;3.0095999670028686;6.0;20.049301924705503;202.1952621459961;train
1;2-methylpropane;58.078;2.0067322483062746;3.0032870523929596;6.0;20.038671143054962;201.2145992279053;train
1;hexane;86.11;2.0090606966018676;3.004294696331024;6.0;20.04911027431488;201.59765911102295;train
1;2-methylhexane;100.125;2.0090612115859985;3.0057825045585633;6.0;20.059382877349854;201.77979526519775;train
1;2,2-dimethylpentane;100.125;2.0090402326583865;3.0088981199264526;6.0;20.05059660434723;202.11873931884767;train
1;3,3-dimethylhexane;114.141;2.009242748260498;3.0102496633529663;6.0;20.05265695095062;202.30434474945068;train
1;2,3,4-trimethyl pentane;114.141;2.009358359336853;3.0096129436492918;6.0;20.060191931724553;201.9506139755249;train
1;2,2-dimethylhexane;114.141;2.0092370405197144;3.008965573310852;6.0;20.040143985748287;202.27346534729006;train
1;nonane;128.157;2.0090701246261595;3.0068751893043517;6.0;20.06454835414886;201.86733264923095;train
1;2,2,4,4-tetramethylpentane;128.157;2.0076083159446716;3.0091542987823487;6.0;20.03786594629288;202.20622215270998;train
1;2,2,5,5-tetramethylhexane;142.172;2.009052863121033;3.0085555686950682;6.0;20.03076716661453;202.26787090301514;train
1;n-undecane;156.188;2.0109957056045533;3.007971817970276;6.0;20.055554585456846;202.0011358261108;train
1;2-methylundecane;170.203;2.0099270725250244;3.007926049232483;6.0;20.052968745231627;202.10515747070312;train
1;2,3-dimethylundecane;184.219;2.00932715511322;3.0101165199279785;6.0;20.05298936367035;202.06282978057862;train
1;pentadecane;212.25;2.011648546218872;3.009313094139099;6.0;20.06488708972931;202.11357822418213;train
1;nonadecane;268.313;2.0103291120529176;3.0080406322479245;6.0;20.054534711837768;202.2021257400513;train
1;squalane;422.485;2.006665177345276;3.0114333658218384;6.0;20.009657349586483;202.15167617797852;train
1;methane;16.031;2.0013091274499892;3.000370281904936;6.0;20.003866087496284;200.54659271240234;val
1;2-methylbutane;72.094;2.007559696674347;3.0051529722213743;6.0;20.043086309432987;201.41737298965455;val
1;2-methylpentane;86.11;2.00882248210907;3.0054049043655393;6.0;20.058613228797913;201.62760791778567;val
1;2,2,3-trimethylbutane;100.125;2.0090491228103637;3.0083710460662845;6.0;20.0320970082283;202.00758533477784;val
1;heptane;100.125;2.008115866661072;3.0057977685928345;6.0;20.061865324974058;201.44361991882326;val
1;3,4-dimethylhexane;114.141;2.008001235961914;3.0092473134994506;6.0;20.051396517753602;202.07020072937013;val
1;3-methyl-3-ethylpentane;114.141;2.0109537210464477;3.008988031387329;6.0;20.03832973718643;202.10930118560793;val
1;2,2,4-trimethylpentane;114.141;2.0070061740875245;3.0097686414718625;6.0;20.03805375337601;202.15957622528074;val
1;2,4,4-trimethylhexane;128.157;2.0075552463531494;3.0104673013687133;6.0;20.03406162500381;202.22355976104734;val
1;2,3,3,4-tetramethylpentane;128.157;2.008590536117554;3.008675778388977;6.0;20.034574043750766;202.08976974487305;val
1;decane;142.172;2.0090537538528443;3.007463625907898;6.0;20.053407568931583;201.86543006896974;val
1;2-methyldecane;156.188;2.009789793968201;3.007379389762878;6.0;20.043864827156064;202.1190528869629;val
1;dodecane;170.203;2.0111993865966795;3.0082623167037963;6.0;20.052721505165103;202.13755264282227;val
1;3-methyltridecane;198.235;2.0108136825561527;3.0095539703369143;6.0;20.049617829322813;202.19005680084229;val
1;hexadecane;226.266;2.010635450363159;3.0091341428756717;6.0;20.062218670845027;202.2370874404907;val
1;eicosane;282.329;2.0105959548950194;3.0086837463378906;6.0;20.06516210079193;202.15130252838134;val
