epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;methane;16.031;1.2701505126953125;3.3589568481445315;6.0;22.024282684326174;312.53607177734375;train
1;2-methylbutane;72.094;2.4594892578125;3.8434795532226564;6.0;23.474862365722657;443.91237792968747;train
1;2-methylpentane;86.11;2.945511535644531;3.9684105224609376;6.0;24.040849914550783;482.71062011718743;train
1;2,2,3-trimethylbutane;100.125;2.6465114135742187;3.973562255859375;6.0;23.805152893066406;476.5037353515625;train
1;heptane;100.125;3.39528466796875;3.8965292968750003;6.0;24.07307586669922;476.413037109375;train
1;3,4-dimethylhexane;114.141;3.26866015625;4.088284301757812;6.0;24.646197204589843;518.3930908203125;train
1;3-methyl-3-ethylpentane;114.141;3.0639290771484378;4.055242309570312;6.0;24.452004699707032;506.31433105468756;train
1;2,2,4-trimethylpentane;114.141;3.2709293212890627;4.107738647460938;6.0;24.64842742919922;522.1379150390625;train
1;2,4,4-trimethylhexane;128.157;3.4654560546875;4.119299072265625;6.0;24.722262268066405;528.8909912109375;train
1;2,3,3,4-tetramethylpentane;128.157;3.260251708984375;4.146740356445313;6.0;24.705773010253907;530.75166015625;train
1;decane;142.172;4.64168701171875;3.914126953125;6.0;24.267110290527345;496.9905029296875;train
1;2-methyldecane;156.188;4.709266357421875;3.9749977416992186;6.0;24.533886413574216;513.0565673828124;train
1;dodecane;170.203;5.373310546875;3.880143737792969;6.0;24.069287414550786;494.4323974609375;train
1;3-methyltridecane;198.235;5.551642578125;3.9191596069335937;6.0;24.214452819824217;505.6946533203125;train
1;hexadecane;226.266;7.15759765625;3.91740478515625;6.0;24.631672058105465;497.08830566406255;train
1;eicosane;282.329;8.612580566406251;3.897636657714844;6.0;24.66595672607422;471.4647216796875;train
1;ethane;30.047;1.3178049926757813;3.488119476318359;6.0;22.537705230712888;348.52904052734374;train
1;2,2-dimethylpropane;72.094;2.2831895751953124;3.780404602050781;6.0;23.238227233886718;426.33374023437494;train
1;2,2-dimethylbutane;86.11;2.8173595581054687;3.937107177734375;6.0;23.84520965576172;472.3152587890625;train
1;2,3-dimethylpentane;100.125;3.0147138061523435;4.048427490234375;6.0;24.357820739746092;503.08649902343757;train
1;2,4-dimethylpentane;100.125;3.0910498046874997;3.9757579345703125;6.0;24.081751403808592;486.9624755859375;train
1;3-methylheptane;114.141;3.8167218017578124;3.98787841796875;6.0;24.486195373535153;506.3085693359374;train
1;2-methyl-3-ethyl-pentane;114.141;3.403697265625;4.121945190429687;6.0;24.863805847167967;529.2929931640625;train
1;2,4-dimethylhexane;114.141;3.3332547607421876;3.968858154296875;6.0;24.079255065917966;490.23371582031245;train
1;2,2,3,4-tetramethylpentane;128.157;3.3158597412109376;4.20288916015625;6.0;24.979050598144532;545.5853271484375;train
1;2,2,5-trimethylhexane;128.157;3.6525860595703126;3.9348638916015624;6.0;24.057679138183595;488.57470703125;train
1;2,6-dimethyloctane;142.172;4.244359619140625;3.916402770996094;6.0;24.20113250732422;492.48857421875005;train
1;2,3-dimethylnonane;156.188;4.155897705078125;4.0666788330078125;6.0;24.879582214355473;531.5633056640625;train
1;3-methyldodecane;184.219;5.1416845703125;3.9904307250976565;6.0;24.580625305175783;521.2265869140625;train
1;2,3-dimethyldodecane;198.235;5.2578525390625;4.011807678222656;6.0;24.606693420410156;526.7075683593749;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.454134765625;4.080462768554687;6.0;25.16886962890625;547.301806640625;train
