epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;2,2,5,5-tetramethylhexane;142.172;2.0125213165283204;3.0092472286224368;6.0;20.136542062759403;200.48773427009584;train
1;n-undecane;156.188;2.0125553302764896;3.0101055068969726;6.0;20.119422903060915;200.61572761535643;train
1;2-methylundecane;170.203;2.012160990715027;3.0108131027221683;6.0;20.128266067504885;200.6969306945801;train
1;2,3-dimethylundecane;184.219;2.0132022943496706;3.0112022533416747;6.0;20.14215435028076;200.59429588317875;train
1;pentadecane;212.25;2.0124319076538084;3.009100248336792;6.0;20.104142713546757;200.5820231437683;train
1;nonadecane;268.313;2.011061782836914;3.0087336645126346;6.0;20.101809396743775;200.78192615509033;train
1;squalane;422.485;2.0065569257736207;3.01006427192688;6.0;20.137421932220462;200.99536409378055;train
1;methane;16.031;2.0025065169334413;3.0009201471209526;6.0;20.02060434818268;199.92212473750115;val
1;2-methylbutane;72.094;2.0079595246315005;3.010348695755005;6.0;20.095589208602902;200.51517024040223;val
1;2-methylpentane;86.11;2.0113553676605225;3.0100915775299075;6.0;20.100305852890017;200.3552322149277;val
1;2,2,3-trimethylbutane;100.125;2.0108356819152835;3.00853902053833;6.0;20.13353362083435;200.52719521522522;val
1;heptane;100.125;2.0108156032562254;3.009889179229736;6.0;20.094943628311157;200.3840498685837;val
1;3,4-dimethylhexane;114.141;2.0127517795562744;3.0094213018417357;6.0;20.118027782440187;200.59978456497188;val
1;3-methyl-3-ethylpentane;114.141;2.0127541599273684;3.0097267026901244;6.0;20.14579792022705;200.4795522689819;val
1;2,2,4-trimethylpentane;114.141;2.01266264629364;3.01051918888092;6.0;20.119108743667603;200.40942974090575;val
1;2,4,4-trimethylhexane;128.157;2.013289776802063;3.0104952030181886;6.0;20.133010358810424;200.432706785202;val
1;2,3,3,4-tetramethylpentane;128.157;2.0117119722366334;3.0078373651504515;6.0;20.135184841156004;200.44151735305786;val
1;decane;142.172;2.0119163999557497;3.0098046941757204;6.0;20.113927001953122;200.59668292999268;val
1;2-methyldecane;156.188;2.012115752220154;3.011056020736694;6.0;20.120375709533693;200.60329179763795;val
1;dodecane;170.203;2.012001211166382;3.0092902488708493;6.0;20.117611513137817;200.7343279838562;val
1;3-methyltridecane;198.235;2.013103430747986;3.0107917098999026;6.0;20.137505502700805;200.8317690849304;val
1;hexadecane;226.266;2.012328185081482;3.008305154800415;6.0;20.112479763031004;200.55701885223388;val
1;eicosane;282.329;2.010863974571228;3.009424919128418;6.0;20.102560176849362;200.6770347595215;val
epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;2.00292254781723;3.0034022102355955;6.0;20.03093394756317;200.20950796604157;train
1;2,2-dimethylpropane;72.094;2.0098234872817993;3.0090780401229855;6.0;20.100546550750735;200.32243003845215;train
1;2,2-dimethylbutane;86.11;2.011671890258789;3.0092640438079834;6.0;20.12343276977539;200.3679507017136;train
1;2,3-dimethylpentane;100.125;2.011640016555786;3.0095925903320313;6.0;20.120628185272214;200.51636753082275;train
1;2,4-dimethylpentane;100.125;2.012827750205994;3.010236382484436;6.0;20.10979202270508;200.3053826093674;train
1;3-methylheptane;114.141;2.012626001358032;3.011156960487366;6.0;20.13405743598938;200.6649916648865;train
1;2-methyl-3-ethyl-pentane;114.141;2.0125642385482787;3.0084374055862426;6.0;20.133976440429684;200.5977484703064;train
1;2,4-dimethylhexane;114.141;2.01187668132782;3.0108439712524415;6.0;20.132295026779175;200.5825882911682;train
1;2,2,3,4-tetramethylpentane;128.157;2.0113390102386477;3.0074384937286376;6.0;20.117719373703;200.7013130187988;train
1;2,2,5-trimethylhexane;128.157;2.0140333595275877;3.0108936920166016;6.0;20.139256057739257;200.29450085163117;train
1;2,6-dimethyloctane;142.172;2.013684808731079;3.0107828330993653;6.0;20.142243032455447;200.54754123687744;train
1;2,3-dimethylnonane;156.188;2.0152162446975708;3.0110380210876464;6.0;20.146719722747804;200.43498721122742;train
1;3-methyldodecane;184.219;2.0132640752792357;3.0114210138320923;6.0;20.134786434173584;200.8674906730652;train
1;2,3-dimethyldodecane;198.235;2.0133395767211915;3.0109601631164553;6.0;20.13304974555969;200.64751634597778;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.014034392356873;3.011171569824219;6.0;20.13644529342651;200.2999576330185;train
1;tetracosane;338.391;2.0101583738327027;3.00869309425354;6.0;20.09836332321167;200.77745695114135;train
1;propane;44.063;2.006416820049286;3.0056388583183287;6.0;20.05298849582672;200.2178067922592;train
1;pentane;72.094;2.0086457567214966;3.008828121185303;6.0;20.07272547721863;200.37977912425995;train
1;2,3-dimethylbutane;86.11;2.009473341941834;3.0084368839263913;6.0;20.110862655639647;200.36698443889617;train
1;3-methylhexane;100.125;2.012264284133911;3.0111937503814694;6.0;20.123076238632205;200.55426416397094;train
1;2,5-dimethylhexane;114.141;2.013257200241089;3.0100199651718142;6.0;20.13163064956665;200.40063095092773;train
1;2,2,3-trimethylpentane;114.141;2.0124398832321164;3.0087766218185426;6.0;20.134334287643433;200.55904178619386;train
1;2,3,3-trimethylpentane;114.141;2.0132742080688475;3.008781261444092;6.0;20.12287292480469;200.51157722473144;train
1;4-methylheptane;114.141;2.0134040632247925;3.0109093875885007;6.0;20.131238355636594;200.51493339538578;train
1;3,3-diethylpentane;128.157;2.0123894186019897;3.0078313488960267;6.0;20.140837068557744;200.409153842926;train
1;2,3-dimethylheptane;128.157;2.0126180181503295;3.010912603378296;6.0;20.137762556076048;200.638453578949;train
1;2,7-dimethyloctane;142.172;2.013433403015137;3.0096328315734864;6.0;20.127229309082033;200.59420680999756;train
1;3-methylundecane;170.203;2.0125410757064817;3.0118190002441407;6.0;20.13582649230957;200.77851462364197;train
1;tridecane;184.219;2.0124156646728517;3.009376914978027;6.0;20.1215367603302;200.66544284820557;train
1;tetradecane;198.235;2.0129133005142212;3.008301531791687;6.0;20.111198444366458;200.60274477005004;train
1;heptadecane;240.282;2.011783076286316;3.008956602096558;6.0;20.116681718826293;200.61550674438476;train
1;heptacosane;380.438;2.009351932525635;3.0081622495651246;6.0;20.089327993392946;200.80180253982545;train
1;n-butane;58.078;2.0077347531318663;3.007709403038025;6.0;20.0602925157547;200.27354171276093;train
1;3-methylpentane;86.11;2.0101932249069216;3.010481213569641;6.0;20.115447273254397;200.63758068084718;train
1;3-ethylpentane;100.125;2.0118515157699584;3.008527928352356;6.0;20.127226676940918;200.47324743270875;train
1;3,3-dimethylpentane;100.125;2.0124682188034058;3.009131474494934;6.0;20.12715510368347;200.4833278656006;train
1;2-methylheptane;114.141;2.0117851181030275;3.010778016090393;6.0;20.12009223937988;200.5287570953369;train
1;octane;114.141;2.010371482849121;3.010743636131287;6.0;20.089334182739258;200.46275439262394;train
1;3-ethylhexane;114.141;2.0131300725936887;3.0101518545150756;6.0;20.124165163040164;200.43746519088748;train
1;2,3-dimethylhexane;114.141;2.012629945755005;3.0106086778640746;6.0;20.118731718063355;200.54845561981202;train
1;2-methyloctane;128.157;2.0128839540481565;3.0109606380462646;6.0;20.129433021545413;200.46331367492675;train
1;2,2,3,3-tetramethylpentane;128.157;2.012764319419861;3.0100171413421632;6.0;20.136091156005858;200.43485136032103;train
1;3-methyldecane;156.188;2.012623821258545;3.011132387161255;6.0;20.138362560272217;200.74690122604372;train
1;2,3-dimethyldecane;170.203;2.0145295934677123;3.0113293685913085;6.0;20.131987514495854;200.56304531097413;train
1;2-methyldodecane;184.219;2.0123419132232665;3.0101394844055176;6.0;20.122661437988285;200.7832634925842;train
1;2-methyltridecane;198.235;2.012212177276611;3.009686004638672;6.0;20.121140394210816;200.7049602985382;train
1;octadecane;254.297;2.01170050907135;3.009020156860352;6.0;20.108036861419677;200.64783110618595;train
1;octacosane;394.454;2.009435156822205;3.008292367935181;6.0;20.087627391815186;200.7975597858429;train
1;2-methylpropane;58.078;2.0067821550369263;3.0084088211059568;6.0;20.068698663711547;200.30514895915985;train
1;hexane;86.11;2.0099650869369508;3.010479691505432;6.0;20.086685638427735;200.36692903041836;train
1;2-methylhexane;100.125;2.0115065317153933;3.0111366539001465;6.0;20.117644004821777;200.41677117347717;train
1;2,2-dimethylpentane;100.125;2.013529077529907;3.009613456726074;6.0;20.12757110595703;200.35650899410248;train
1;3,3-dimethylhexane;114.141;2.0136867542266845;3.0099785413742066;6.0;20.121808061599733;200.40933222770693;train
1;2,3,4-trimethyl pentane;114.141;2.0118054981231692;3.0085939807891844;6.0;20.130512342453002;200.4599719524384;train
1;2,2-dimethylhexane;114.141;2.0129140396118164;3.011015001296997;6.0;20.122641811370848;200.30865201950073;train
1;nonane;128.157;2.0106421718597414;3.0096859035491943;6.0;20.095234537124632;200.64419870376585;train
1;2,2,4,4-tetramethylpentane;128.157;2.0108209505081174;3.0095315608978273;6.0;20.126375684738157;200.6142026424408;train
1;2,2,5,5-tetramethylhexane;142.172;2.0125213165283204;3.0092472286224368;6.0;20.136542062759403;200.48773427009584;train
1;n-undecane;156.188;2.0125553302764896;3.0101055068969726;6.0;20.119422903060915;200.61572761535643;train
1;2-methylundecane;170.203;2.012160990715027;3.0108131027221683;6.0;20.128266067504885;200.6969306945801;train
1;2,3-dimethylundecane;184.219;2.0132022943496706;3.0112022533416747;6.0;20.14215435028076;200.59429588317875;train
1;pentadecane;212.25;2.0124319076538084;3.009100248336792;6.0;20.104142713546757;200.5820231437683;train
1;nonadecane;268.313;2.011061782836914;3.0087336645126346;6.0;20.101809396743775;200.78192615509033;train
1;squalane;422.485;2.0065569257736207;3.01006427192688;6.0;20.137421932220462;200.99536409378055;train
1;methane;16.031;2.0025065169334413;3.0009201471209526;6.0;20.02060434818268;199.92212473750115;val
1;2-methylbutane;72.094;2.0079595246315005;3.010348695755005;6.0;20.095589208602902;200.51517024040223;val
1;2-methylpentane;86.11;2.0113553676605225;3.0100915775299075;6.0;20.100305852890017;200.3552322149277;val
1;2,2,3-trimethylbutane;100.125;2.0108356819152835;3.00853902053833;6.0;20.13353362083435;200.52719521522522;val
1;heptane;100.125;2.0108156032562254;3.009889179229736;6.0;20.094943628311157;200.3840498685837;val
1;3,4-dimethylhexane;114.141;2.0127517795562744;3.0094213018417357;6.0;20.118027782440187;200.59978456497188;val
1;3-methyl-3-ethylpentane;114.141;2.0127541599273684;3.0097267026901244;6.0;20.14579792022705;200.4795522689819;val
1;2,2,4-trimethylpentane;114.141;2.01266264629364;3.01051918888092;6.0;20.119108743667603;200.40942974090575;val
1;2,4,4-trimethylhexane;128.157;2.013289776802063;3.0104952030181886;6.0;20.133010358810424;200.432706785202;val
1;2,3,3,4-tetramethylpentane;128.157;2.0117119722366334;3.0078373651504515;6.0;20.135184841156004;200.44151735305786;val
1;decane;142.172;2.0119163999557497;3.0098046941757204;6.0;20.113927001953122;200.59668292999268;val
1;2-methyldecane;156.188;2.012115752220154;3.011056020736694;6.0;20.120375709533693;200.60329179763795;val
1;dodecane;170.203;2.012001211166382;3.0092902488708493;6.0;20.117611513137817;200.7343279838562;val
1;3-methyltridecane;198.235;2.013103430747986;3.0107917098999026;6.0;20.137505502700805;200.8317690849304;val
1;hexadecane;226.266;2.012328185081482;3.008305154800415;6.0;20.112479763031004;200.55701885223388;val
1;eicosane;282.329;2.010863974571228;3.009424919128418;6.0;20.102560176849362;200.6770347595215;val
epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;2.00292254781723;3.0034022102355955;6.0;20.03093394756317;200.20950796604157;train
1;2,2-dimethylpropane;72.094;2.0098234872817993;3.0090780401229855;6.0;20.100546550750735;200.32243003845215;train
1;2,2-dimethylbutane;86.11;2.011671890258789;3.0092640438079834;6.0;20.12343276977539;200.3679507017136;train
1;2,3-dimethylpentane;100.125;2.011640016555786;3.0095925903320313;6.0;20.120628185272214;200.51636753082275;train
1;2,4-dimethylpentane;100.125;2.012827750205994;3.010236382484436;6.0;20.10979202270508;200.3053826093674;train
1;3-methylheptane;114.141;2.012626001358032;3.011156960487366;6.0;20.13405743598938;200.6649916648865;train
1;2-methyl-3-ethyl-pentane;114.141;2.0125642385482787;3.0084374055862426;6.0;20.133976440429684;200.5977484703064;train
1;2,4-dimethylhexane;114.141;2.01187668132782;3.0108439712524415;6.0;20.132295026779175;200.5825882911682;train
1;2,2,3,4-tetramethylpentane;128.157;2.0113390102386477;3.0074384937286376;6.0;20.117719373703;200.7013130187988;train
1;2,2,5-trimethylhexane;128.157;2.0140333595275877;3.0108936920166016;6.0;20.139256057739257;200.29450085163117;train
1;2,6-dimethyloctane;142.172;2.013684808731079;3.0107828330993653;6.0;20.142243032455447;200.54754123687744;train
1;2,3-dimethylnonane;156.188;2.0152162446975708;3.0110380210876464;6.0;20.146719722747804;200.43498721122742;train
1;3-methyldodecane;184.219;2.0132640752792357;3.0114210138320923;6.0;20.134786434173584;200.8674906730652;train
1;2,3-dimethyldodecane;198.235;2.0133395767211915;3.0109601631164553;6.0;20.13304974555969;200.64751634597778;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.014034392356873;3.011171569824219;6.0;20.13644529342651;200.2999576330185;train
1;tetracosane;338.391;2.0101583738327027;3.00869309425354;6.0;20.09836332321167;200.77745695114135;train
1;propane;44.063;2.006416820049286;3.0056388583183287;6.0;20.05298849582672;200.2178067922592;train
1;pentane;72.094;2.0086457567214966;3.008828121185303;6.0;20.07272547721863;200.37977912425995;train
1;2,3-dimethylbutane;86.11;2.009473341941834;3.0084368839263913;6.0;20.110862655639647;200.36698443889617;train
1;3-methylhexane;100.125;2.012264284133911;3.0111937503814694;6.0;20.123076238632205;200.55426416397094;train
1;2,5-dimethylhexane;114.141;2.013257200241089;3.0100199651718142;6.0;20.13163064956665;200.40063095092773;train
1;2,2,3-trimethylpentane;114.141;2.0124398832321164;3.0087766218185426;6.0;20.134334287643433;200.55904178619386;train
1;2,3,3-trimethylpentane;114.141;2.0132742080688475;3.008781261444092;6.0;20.12287292480469;200.51157722473144;train
1;4-methylheptane;114.141;2.0134040632247925;3.0109093875885007;6.0;20.131238355636594;200.51493339538578;train
1;3,3-diethylpentane;128.157;2.0123894186019897;3.0078313488960267;6.0;20.140837068557744;200.409153842926;train
1;2,3-dimethylheptane;128.157;2.0126180181503295;3.010912603378296;6.0;20.137762556076048;200.638453578949;train
1;2,7-dimethyloctane;142.172;2.013433403015137;3.0096328315734864;6.0;20.127229309082033;200.59420680999756;train
1;3-methylundecane;170.203;2.0125410757064817;3.0118190002441407;6.0;20.13582649230957;200.77851462364197;train
1;tridecane;184.219;2.0124156646728517;3.009376914978027;6.0;20.1215367603302;200.66544284820557;train
1;tetradecane;198.235;2.0129133005142212;3.008301531791687;6.0;20.111198444366458;200.60274477005004;train
1;heptadecane;240.282;2.011783076286316;3.008956602096558;6.0;20.116681718826293;200.61550674438476;train
1;heptacosane;380.438;2.009351932525635;3.0081622495651246;6.0;20.089327993392946;200.80180253982545;train
1;n-butane;58.078;2.0077347531318663;3.007709403038025;6.0;20.0602925157547;200.27354171276093;train
1;3-methylpentane;86.11;2.0101932249069216;3.010481213569641;6.0;20.115447273254397;200.63758068084718;train
1;3-ethylpentane;100.125;2.0118515157699584;3.008527928352356;6.0;20.127226676940918;200.47324743270875;train
1;3,3-dimethylpentane;100.125;2.0124682188034058;3.009131474494934;6.0;20.12715510368347;200.4833278656006;train
1;2-methylheptane;114.141;2.0117851181030275;3.010778016090393;6.0;20.12009223937988;200.5287570953369;train
1;octane;114.141;2.010371482849121;3.010743636131287;6.0;20.089334182739258;200.46275439262394;train
1;3-ethylhexane;114.141;2.0131300725936887;3.0101518545150756;6.0;20.124165163040164;200.43746519088748;train
1;2,3-dimethylhexane;114.141;2.012629945755005;3.0106086778640746;6.0;20.118731718063355;200.54845561981202;train
1;2-methyloctane;128.157;2.0128839540481565;3.0109606380462646;6.0;20.129433021545413;200.46331367492675;train
1;2,2,3,3-tetramethylpentane;128.157;2.012764319419861;3.0100171413421632;6.0;20.136091156005858;200.43485136032103;train
1;3-methyldecane;156.188;2.012623821258545;3.011132387161255;6.0;20.138362560272217;200.74690122604372;train
1;2,3-dimethyldecane;170.203;2.0145295934677123;3.0113293685913085;6.0;20.131987514495854;200.56304531097413;train
1;2-methyldodecane;184.219;2.0123419132232665;3.0101394844055176;6.0;20.122661437988285;200.7832634925842;train
1;2-methyltridecane;198.235;2.012212177276611;3.009686004638672;6.0;20.121140394210816;200.7049602985382;train
1;octadecane;254.297;2.01170050907135;3.009020156860352;6.0;20.108036861419677;200.64783110618595;train
1;octacosane;394.454;2.009435156822205;3.008292367935181;6.0;20.087627391815186;200.7975597858429;train
1;2-methylpropane;58.078;2.0067821550369263;3.0084088211059568;6.0;20.068698663711547;200.30514895915985;train
1;hexane;86.11;2.0099650869369508;3.010479691505432;6.0;20.086685638427735;200.36692903041836;train
1;2-methylhexane;100.125;2.0115065317153933;3.0111366539001465;6.0;20.117644004821777;200.41677117347717;train
1;2,2-dimethylpentane;100.125;2.013529077529907;3.009613456726074;6.0;20.12757110595703;200.35650899410248;train
1;3,3-dimethylhexane;114.141;2.0136867542266845;3.0099785413742066;6.0;20.121808061599733;200.40933222770693;train
1;2,3,4-trimethyl pentane;114.141;2.0118054981231692;3.0085939807891844;6.0;20.130512342453002;200.4599719524384;train
1;2,2-dimethylhexane;114.141;2.0129140396118164;3.011015001296997;6.0;20.122641811370848;200.30865201950073;train
1;nonane;128.157;2.0106421718597414;3.0096859035491943;6.0;20.095234537124632;200.64419870376585;train
1;2,2,4,4-tetramethylpentane;128.157;2.0108209505081174;3.0095315608978273;6.0;20.126375684738157;200.6142026424408;train
1;2,2,5,5-tetramethylhexane;142.172;2.0125213165283204;3.0092472286224368;6.0;20.136542062759403;200.48773427009584;train
1;n-undecane;156.188;2.0125553302764896;3.0101055068969726;6.0;20.119422903060915;200.61572761535643;train
1;2-methylundecane;170.203;2.012160990715027;3.0108131027221683;6.0;20.128266067504885;200.6969306945801;train
1;2,3-dimethylundecane;184.219;2.0132022943496706;3.0112022533416747;6.0;20.14215435028076;200.59429588317875;train
1;pentadecane;212.25;2.0124319076538084;3.009100248336792;6.0;20.104142713546757;200.5820231437683;train
1;nonadecane;268.313;2.011061782836914;3.0087336645126346;6.0;20.101809396743775;200.78192615509033;train
1;squalane;422.485;2.0065569257736207;3.01006427192688;6.0;20.137421932220462;200.99536409378055;train
1;methane;16.031;2.0025065169334413;3.0009201471209526;6.0;20.02060434818268;199.92212473750115;val
1;2-methylbutane;72.094;2.0079595246315005;3.010348695755005;6.0;20.095589208602902;200.51517024040223;val
1;2-methylpentane;86.11;2.0113553676605225;3.0100915775299075;6.0;20.100305852890017;200.3552322149277;val
1;2,2,3-trimethylbutane;100.125;2.0108356819152835;3.00853902053833;6.0;20.13353362083435;200.52719521522522;val
1;heptane;100.125;2.0108156032562254;3.009889179229736;6.0;20.094943628311157;200.3840498685837;val
1;3,4-dimethylhexane;114.141;2.0127517795562744;3.0094213018417357;6.0;20.118027782440187;200.59978456497188;val
1;3-methyl-3-ethylpentane;114.141;2.0127541599273684;3.0097267026901244;6.0;20.14579792022705;200.4795522689819;val
1;2,2,4-trimethylpentane;114.141;2.01266264629364;3.01051918888092;6.0;20.119108743667603;200.40942974090575;val
1;2,4,4-trimethylhexane;128.157;2.013289776802063;3.0104952030181886;6.0;20.133010358810424;200.432706785202;val
1;2,3,3,4-tetramethylpentane;128.157;2.0117119722366334;3.0078373651504515;6.0;20.135184841156004;200.44151735305786;val
1;decane;142.172;2.0119163999557497;3.0098046941757204;6.0;20.113927001953122;200.59668292999268;val
1;2-methyldecane;156.188;2.012115752220154;3.011056020736694;6.0;20.120375709533693;200.60329179763795;val
1;dodecane;170.203;2.012001211166382;3.0092902488708493;6.0;20.117611513137817;200.7343279838562;val
1;3-methyltridecane;198.235;2.013103430747986;3.0107917098999026;6.0;20.137505502700805;200.8317690849304;val
1;hexadecane;226.266;2.012328185081482;3.008305154800415;6.0;20.112479763031004;200.55701885223388;val
1;eicosane;282.329;2.010863974571228;3.009424919128418;6.0;20.102560176849362;200.6770347595215;val
epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;2.00292254781723;3.0034022102355955;6.0;20.03093394756317;200.20950796604157;train
1;2,2-dimethylpropane;72.094;2.0098234872817993;3.0090780401229855;6.0;20.100546550750735;200.32243003845215;train
1;2,2-dimethylbutane;86.11;2.011671890258789;3.0092640438079834;6.0;20.12343276977539;200.3679507017136;train
1;2,3-dimethylpentane;100.125;2.011640016555786;3.0095925903320313;6.0;20.120628185272214;200.51636753082275;train
1;2,4-dimethylpentane;100.125;2.012827750205994;3.010236382484436;6.0;20.10979202270508;200.3053826093674;train
1;3-methylheptane;114.141;2.012626001358032;3.011156960487366;6.0;20.13405743598938;200.6649916648865;train
1;2-methyl-3-ethyl-pentane;114.141;2.0125642385482787;3.0084374055862426;6.0;20.133976440429684;200.5977484703064;train
1;2,4-dimethylhexane;114.141;2.01187668132782;3.0108439712524415;6.0;20.132295026779175;200.5825882911682;train
1;2,2,3,4-tetramethylpentane;128.157;2.0113390102386477;3.0074384937286376;6.0;20.117719373703;200.7013130187988;train
1;2,2,5-trimethylhexane;128.157;2.0140333595275877;3.0108936920166016;6.0;20.139256057739257;200.29450085163117;train
1;2,6-dimethyloctane;142.172;2.013684808731079;3.0107828330993653;6.0;20.142243032455447;200.54754123687744;train
