epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;2,3,4-trimethyl pentane;114.141;2.1458809673786163;3.291555881500244;6.0;22.602097988128662;202.139151096344
1;2,5-dimethylhexane;114.141;2.114915668964386;3.2601592540740967;6.0;23.332499861717224;185.49098372459412
1;2-methylhexane;100.125;2.2157226651906967;3.3581591844558716;6.0;24.30364191532135;197.994264960289
1;2-methylheptane;114.141;2.0513854324817657;3.239064872264862;6.0;22.11388111114502;193.08937788009644
1;3-methyldecane;156.188;2.035586003214121;3.1165913343429565;6.0;22.509719729423523;176.51927173137665
1;2,2,3-trimethylbutane;100.125;2.2195663452148438;3.190535604953766;6.0;24.213000535964966;165.99693596363068
1;3-methyl-3-ethylpentane;114.141;2.2137172371149063;3.0445407032966614;6.0;24.399281442165375;152.13104486465454
1;hexadecane;226.266;2.221192628145218;3.4230444729328156;6.0;26.64536714553833;184.74617898464203
1;3,3-dimethylhexane;114.141;2.093577802181244;3.157217815518379;6.0;22.178944647312164;181.35974407196045
1;3-methyltridecane;198.235;2.1079479828476906;3.134126052260399;6.0;25.870524048805237;146.4563488960266
1;pentadecane;212.25;2.1944484561681747;3.430412858724594;6.0;24.93956834077835;196.40333503484726
1;hexane;86.11;2.036896549165249;2.999689720571041;6.0;21.299741119146347;180.36019504070282
1;2-methylbutane;72.094;2.066002234816551;3.0777871310710907;6.0;21.504720151424408;187.11684346199036
1;nonane;128.157;2.1431101113557816;3.434909999370575;6.0;22.909697890281677;217.8133562207222
1;heptacosane;380.438;2.2799824476242065;3.4715057611465454;6.0;25.14810562133789;204.81936484575272
1;2-methyloctane;128.157;2.240550458431244;3.4249081313610077;6.0;24.262721240520477;207.32514560222626
1;octacosane;394.454;2.3217623829841614;3.4973873794078827;6.0;26.842191219329834;194.66057568788528
1;2,2-dimethylpropane;72.094;2.0850007086992264;3.2009815871715546;6.0;22.361822575330734;191.96102991700172
1;2,2,4,4-tetramethylpentane;128.157;2.233906775712967;3.008300978690386;6.0;24.67937469482422;141.63817763328552
1;2,4,4-trimethylhexane;128.157;2.208683490753174;3.0704830437898636;6.0;25.394800305366516;138.68198990821838
1;2-methyl-3-ethyl-pentane;114.141;2.052046276628971;3.1041179820895195;6.0;21.297285109758377;192.8971216082573
1;2-methylpentane;86.11;2.137756511569023;3.10926952958107;6.0;22.526337504386902;187.51678243279457
1;2,3,3,4-tetramethylpentane;128.157;2.2243810147047043;3.0379802733659744;6.0;24.315438866615295;158.6909532546997
1;octadecane;254.297;2.124817542731762;3.1969074606895447;6.0;24.679381847381592;174.27760362625122
1;heptadecane;240.282;2.189837336540222;3.3381676971912384;6.0;25.60108721256256;180.4278463125229
1;n-undecane;156.188;2.1034778356552124;3.4473681151866913;6.0;23.243762850761414;214.3832728266716
1;2,3-dimethyldecane;170.203;2.245385766029358;3.0602376721799374;6.0;25.183282494544983;134.9742829799652
1;nonadecane;268.313;2.0687450170516968;3.287085682153702;6.0;25.493919253349304;177.65278816223145
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.5214914083480835;3.0889951586723328;6.0;31.320340633392334;99.14242229282331
1;3-methyldodecane;184.219;2.2247967571020126;3.0402379781007767;6.0;25.105628967285156;147.55114316940308
1;ethane;30.047;2.028052257373929;3.0174172408878803;6.0;20.796140730381012;193.46630573272705
1;3,4-dimethylhexane;114.141;2.0664456337690353;3.176931068301201;6.0;21.715912967920303;192.06039160490036
1;2,3-dimethylpentane;100.125;2.117906853556633;3.3279386162757874;6.0;22.285787910223007;202.86996513605118
1;3-methylheptane;114.141;2.1944096237421036;3.2060538828372955;6.0;24.920628666877747;174.71489310264587
1;2,3-dimethylundecane;184.219;2.2262579202651978;3.0888249948620796;6.0;25.358052253723145;124.39790368080139
1;pentane;72.094;2.0924216359853745;2.9984818175435066;6.0;21.61915123462677;182.51712918281555
1;tetradecane;198.235;2.1436139941215515;3.452709048986435;6.0;25.322171449661255;198.08454513549805
1;2-methylundecane;170.203;2.288947105407715;3.2995177507400513;6.0;26.382404565811157;152.11836099624634
1;n-butane;58.078;2.081438288092613;3.0029810117557645;6.0;21.549776792526245;180.99462985992432
1;2,2,5,5-tetramethylhexane;142.172;2.1689591109752655;3.0397295728325844;6.0;23.842852115631104;146.87989950180054
1;squalane;422.485;2.532806396484375;3.673935294151306;6.0;35.80685257911682;138.8505518436432
1;tridecane;184.219;2.148299351334572;3.3686736822128296;6.0;27.05277681350708;174.9463826417923
1;2,2-dimethylbutane;86.11;2.1522735357284546;3.24241104722023;6.0;25.26899814605713;178.34409028291702
1;2-methylpropane;58.078;2.05802970379591;3.02619968354702;6.0;21.09848290681839;185.35540997982025
1;2,3,3-trimethylpentane;114.141;2.138166069984436;3.160541981458664;6.0;22.91520357131958;175.38089454174042
1;3-ethylhexane;114.141;2.2085840851068497;3.240829363465309;6.0;25.315828323364258;180.58608919382095
1;2,2-dimethylhexane;114.141;2.1505068093538284;3.3053083419799805;6.0;22.98210084438324;190.00053852796555
1;2,2,4-trimethylpentane;114.141;2.139789342880249;3.1933560371398926;6.0;22.79483735561371;180.68134784698486
1;2,4-dimethylhexane;114.141;2.1737340688705444;3.2604530453681946;6.0;24.57744687795639;179.706609249115
1;2,2,5-trimethylhexane;128.157;2.3357978463172913;3.292998105287552;6.0;27.262989282608032;158.7835818529129
1;2,2,3-trimethylpentane;114.141;2.13394695520401;3.064322181046009;6.0;22.89843499660492;168.2732194662094
1;3-methylhexane;100.125;2.072277247905731;3.160882905125618;6.0;21.837273240089417;194.91744711995125
1;dodecane;170.203;2.073371633887291;3.36379474401474;6.0;24.22443777322769;200.29201805591583
1;eicosane;282.329;2.249923527240753;3.2397364377975464;6.0;28.66136074066162;151.12163126468658
1;2,3-dimethylheptane;128.157;2.1035998463630676;3.2722641229629517;6.0;22.732878923416138;184.5914512872696
1;2,7-dimethyloctane;142.172;1.9543853141367435;3.0718811005353928;6.0;21.99545606970787;167.68962740898132
1;4-methylheptane;114.141;2.1087618842720985;3.096991628408432;6.0;23.9145028591156;166.51229858398438
1;tetracosane;338.391;2.2216710448265076;3.515955150127411;6.0;25.90292990207672;201.2390896677971
1;methane;16.031;2.0152485193684697;3.0059907166287303;6.0;20.46788565814495;194.08815279603004
1;3,3-dimethylpentane;100.125;2.068807616829872;3.117717891931534;6.0;21.516494899988174;179.41010296344757
1;decane;142.172;2.086076110601425;3.4310688972473145;6.0;22.552377581596375;216.24432653188705
1;2,2,3,3-tetramethylpentane;128.157;2.37689745426178;2.993192359805107;6.0;27.40640699863434;119.01499032974243
1;3-ethylpentane;100.125;2.2492610216140747;3.1344268918037415;6.0;24.33929741382599;173.5004097223282
1;2,3-dimethyldodecane;198.235;2.075389787554741;3.156457394361496;6.0;22.42958754301071;158.91541838645935
1;3-methylundecane;170.203;2.186408504843712;3.2657186686992645;6.0;25.07934033870697;172.3963975906372
1;2-methyldecane;156.188;1.9768493920564651;3.230372905731201;6.0;20.175795704126358;199.8304784297943
1;3-methylpentane;86.11;2.0244995448738337;3.042566828429699;6.0;20.812854319810867;187.295001745224
1;2,2-dimethylpentane;100.125;2.2332728654146194;3.353133201599121;6.0;24.764679074287415;189.13534581661224
1;2-methyltridecane;198.235;2.091715633869171;3.291793644428253;6.0;23.911547660827637;182.9465687274933
1;octane;114.141;2.1711217910051346;3.385162889957428;6.0;22.438769340515137;217.95630306005478
1;2,3-dimethylbutane;86.11;2.0449849404394627;3.1749389618635178;6.0;21.05120360851288;199.99335706233978
1;2,3-dimethylhexane;114.141;2.0534321069717407;3.2135585099458694;6.0;21.31254941225052;198.94258975982666
1;2,3-dimethylnonane;156.188;2.144756019115448;3.21107080578804;6.0;23.4995499253273;170.33611536026
1;2-methyldodecane;184.219;2.1089580357074738;3.3889559507369995;6.0;22.21035748720169;209.43260937929153
1;propane;44.063;2.092934913933277;3.014135225676;6.0;22.419194281101227;177.62782871723175
1;heptane;100.125;2.153827518224716;3.2384426444768906;6.0;22.7506285905838;198.34426045417786
1;2,6-dimethyloctane;142.172;2.284023106098175;3.236281469464302;6.0;27.24826753139496;159.73998308181763
1;2,2,3,4-tetramethylpentane;128.157;2.203185737133026;3.057783778756857;6.0;24.290254712104797;155.78636229038239
1;3,3-diethylpentane;128.157;2.247597500681877;3.1559234857559204;6.0;24.74633038043976;166.19861721992493
1;2,4-dimethylpentane;100.125;2.164368614554405;3.1095605939626694;6.0;26.25885009765625;159.29737091064453
1;2,3,4-trimethyl pentane;114.141;2.1502958983182907;3.3039389848709106;6.0;22.623029351234436;203.58148217201233
1;2,5-dimethylhexane;114.141;2.110488936305046;3.27217236161232;6.0;23.16547453403473;188.17517161369324
